representation,config_id,role,seed,record_id,n_beats,confusion_json,Accuracy,Support_N,Predicted_N,TP_N,FP_N,FN_N,Precision_N,Recall_N,F1_N,Support_S,Predicted_S,TP_S,FP_S,FN_S,Precision_S,Recall_S,F1_S,Support_V,Predicted_V,TP_V,FP_V,FN_V,Precision_V,Recall_V,F1_V,Support_F,Predicted_F,TP_F,FP_F,FN_F,Precision_F,Recall_F,F1_F,Macro_F1_present_classes,Rare_Macro_present_classes,Min_Rare_present_classes
RAW_1D,BASELINE_CE,baseline,7103,123,1518,"[[1512, 3, 0, 0], [0, 0, 0, 0], [0, 0, 3, 0], [0, 0, 0, 0]]",0.9980237154150198,1515,1512,1512,0,3,1.0,0.998019801980198,0.9990089197224975,0,3,0,3,0,0.0,,,3,3,3,0,0,1.0,1.0,1.0,0,0,0,0,0,,,,0.9995044598612488,,
RAW_1D,BASELINE_CE,baseline,7103,200,2600,"[[1736, 4, 0, 2], [22, 8, 0, 0], [42, 17, 767, 0], [2, 0, 0, 0]]",0.9657692307692308,1742,1802,1736,66,6,0.9633740288568258,0.9965556831228473,0.9796839729119639,30,29,8,21,22,0.27586206896551724,0.26666666666666666,0.2711864406779661,826,767,767,0,59,1.0,0.9285714285714286,0.9629629629629629,2,2,0,2,2,0.0,0.0,0.0,0.5534583441382233,0.13559322033898305,0.0
RAW_1D,BASELINE_CE,baseline,7103,202,2136,"[[1945, 96, 5, 15], [34, 14, 7, 0], [1, 0, 18, 0], [1, 0, 0, 0]]",0.925561797752809,2061,1981,1945,36,116,0.9818273599192328,0.9437166424065987,0.9623948540326571,55,110,14,96,41,0.12727272727272726,0.2545454545454545,0.1696969696969697,19,30,18,12,1,0.6,0.9473684210526315,0.7346938775510204,1,15,0,15,1,0.0,0.0,0.0,0.46669642532016187,0.08484848484848485,0.0
RAW_1D,BASELINE_CE,baseline,7103,210,2648,"[[2328, 0, 15, 78], [20, 0, 2, 0], [39, 4, 152, 0], [9, 0, 1, 0]]",0.9365558912386707,2421,2396,2328,68,93,0.9716193656093489,0.9615861214374225,0.966576707494291,22,4,0,4,22,0.0,0.0,0.0,195,170,152,18,43,0.8941176470588236,0.7794871794871795,0.8328767123287671,10,78,0,78,10,0.0,0.0,0.0,0.44986335495576457,0.0,0.0
RAW_1D,BASELINE_CE,baseline,7103,212,2747,"[[2747, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",1.0,2747,2747,2747,0,0,1.0,1.0,1.0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,1.0,,
RAW_1D,BASELINE_CE,baseline,7103,213,3250,"[[2636, 4, 0, 0], [12, 4, 12, 0], [140, 1, 77, 2], [361, 0, 1, 0]]",0.836,2640,3149,2636,513,4,0.8370911400444585,0.9984848484848485,0.9106926930385213,28,9,4,5,24,0.4444444444444444,0.14285714285714285,0.21621621621621623,220,90,77,13,143,0.8555555555555555,0.35,0.4967741935483871,362,2,0,2,362,0.0,0.0,0.0,0.40592077570078117,0.10810810810810811,0.0
RAW_1D,BASELINE_CE,baseline,7103,214,2258,"[[1524, 0, 476, 1], [0, 0, 0, 0], [41, 46, 169, 0], [0, 1, 0, 0]]",0.74977856510186,2001,1565,1524,41,477,0.9738019169329073,0.7616191904047976,0.854739203589456,0,47,0,47,0,0.0,,,256,645,169,476,87,0.262015503875969,0.66015625,0.3751387347391787,1,1,0,1,1,0.0,0.0,0.0,0.40995931277621156,0.0,0.0
RAW_1D,BASELINE_CE,baseline,7103,219,2154,"[[1615, 2, 444, 21], [4, 0, 3, 0], [1, 6, 57, 0], [0, 1, 0, 0]]",0.776230269266481,2082,1620,1615,5,467,0.9969135802469136,0.7756964457252642,0.8725013506212858,7,9,0,9,7,0.0,0.0,0.0,64,504,57,447,7,0.1130952380952381,0.890625,0.2007042253521127,1,21,0,21,1,0.0,0.0,0.0,0.2683013939933496,0.0,0.0
RAW_1D,BASELINE_CE,baseline,7103,221,2427,"[[2017, 12, 0, 2], [0, 0, 0, 0], [0, 0, 396, 0], [0, 0, 0, 0]]",0.9942315615986815,2031,2017,2017,0,14,1.0,0.9931068439192516,0.9965415019762845,0,12,0,12,0,0.0,,,396,396,396,0,0,1.0,1.0,1.0,0,2,0,2,0,0.0,,,0.9982707509881423,,
RAW_1D,BASELINE_CE,baseline,7103,222,2483,"[[1991, 77, 202, 4], [71, 87, 51, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",0.8368908578332662,2274,2062,1991,71,283,0.9655674102812803,0.8755496921723834,0.9183579335793358,209,164,87,77,122,0.5304878048780488,0.41626794258373206,0.46648793565683644,0,253,0,253,0,0.0,,,0,4,0,4,0,0.0,,,0.6924229346180861,0.46648793565683644,0.46648793565683644
RAW_1D,BASELINE_CE,baseline,7103,228,2053,"[[1687, 0, 1, 0], [3, 0, 0, 0], [11, 4, 347, 0], [0, 0, 0, 0]]",0.990745250852411,1688,1701,1687,14,1,0.9917695473251029,0.9994075829383886,0.9955739156093243,3,4,0,4,3,0.0,0.0,0.0,362,348,347,1,15,0.9971264367816092,0.9585635359116023,0.9774647887323944,0,0,0,0,0,,,,0.6576795681139062,0.0,0.0
RAW_1D,BASELINE_CE,baseline,7103,231,1571,"[[1568, 0, 0, 0], [1, 0, 0, 0], [0, 1, 1, 0], [0, 0, 0, 0]]",0.9987269255251432,1568,1569,1568,1,0,0.9993626513702996,1.0,0.999681224099458,1,1,0,1,1,0.0,0.0,0.0,2,1,1,0,1,1.0,0.5,0.6666666666666666,0,0,0,0,0,,,,0.5554492969220416,0.0,0.0
RAW_1D,BASELINE_CE,baseline,7103,232,1780,"[[397, 0, 1, 0], [1351, 1, 30, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",0.22359550561797753,398,1748,397,1351,1,0.22711670480549198,0.9974874371859297,0.3699906803355079,1382,1,1,0,1381,1.0,0.000723589001447178,0.0014461315979754157,0,31,0,31,0,0.0,,,0,0,0,0,0,,,,0.18571840596674166,0.0014461315979754157,0.0014461315979754157
RAW_1D,BASELINE_CE,baseline,7103,233,3077,"[[2197, 0, 15, 17], [1, 1, 5, 0], [8, 24, 793, 5], [5, 0, 5, 1]]",0.9723756906077348,2229,2211,2197,14,32,0.9936680235187698,0.9856437864513234,0.9896396396396396,7,25,1,24,6,0.04,0.14285714285714285,0.0625,830,818,793,25,37,0.969437652811736,0.9554216867469879,0.962378640776699,11,23,1,22,10,0.043478260869565216,0.09090909090909091,0.058823529411764705,0.5183354524570258,0.06066176470588235,0.058823529411764705
