representation,config_id,role,record_id,n_seeds,n_beats,Accuracy_mean,Macro_F1_present_classes_mean,Rare_Macro_present_classes_mean,Min_Rare_present_classes_mean,Precision_N_mean,Recall_N_mean,F1_N_mean,Precision_S_mean,Recall_S_mean,F1_S_mean,Precision_V_mean,Recall_V_mean,F1_V_mean,Precision_F_mean,Recall_F_mean,F1_F_mean,Accuracy_std,Macro_F1_present_classes_std,Rare_Macro_present_classes_std,Min_Rare_present_classes_std,Precision_N_std,Recall_N_std,F1_N_std,Precision_S_std,Recall_S_std,F1_S_std,Precision_V_std,Recall_V_std,F1_V_std,Precision_F_std,Recall_F_std,F1_F_std,Support_N,Support_S,Support_V,Support_F
RAW_1D,BASELINE_CE,baseline,100,10,2272,0.996963028169014,0.861632290318558,0.8728563922416381,0.8728563922416381,0.997509508220508,0.999910634495085,0.9987071453807028,0.9967741935483871,0.8,0.8728563922416381,0.65,0.9,0.7133333333333333,,,,0.0028482852900744045,0.1530587725351704,0.1483027622356673,0.1483027622356673,0.0024727571914559773,0.00018839902652178256,0.001203697011896253,0.010200895677962509,0.19597000909539836,0.1483027622356673,0.39440531887330776,0.31622776601683794,0.352836827953792,,,,2238,33,1,0
RAW_1D,BASELINE_CE,baseline,113,10,1794,0.9969342251950948,0.6138721434726809,0.22805194805194806,0.22805194805194806,0.9997205767086884,0.9996644295302014,0.9996923388934139,0.6666666666666666,0.18333333333333332,0.22805194805194806,0.0,,,,,,0.0010913545266138048,0.17556052110765086,0.3511306621332641,0.3511306621332641,0.0003951053470954419,0.0006012123600520984,0.0002782355663827706,0.5163977794943223,0.3088209357708288,0.3511306621332641,0.0,,,,,,1788,6,0,0
RAW_1D,BASELINE_CE,baseline,228,10,2053,0.9521675596687773,0.6087190334825389,0.01686138493367409,0.01686138493367409,0.9730143817314321,0.9997630331753555,0.9860116122913956,0.009719187989425906,0.1,0.01686138493367409,0.9987445834981141,0.737292817679558,0.8232841032225469,0.0,,,0.04414080222331392,0.07102135310465996,0.03607690958225975,0.03607690958225975,0.028600169278578225,0.00041422150401666195,0.014877100814921305,0.021427760133235975,0.16101529717988264,0.03607690958225975,0.0022386534015631314,0.2502282330360395,0.1953843793993878,,,,1688,3,362,0
RAW_1D,BASELINE_CE,baseline,103,10,2084,0.9995201535508638,0.8332132853141256,0.6666666666666666,0.6666666666666666,0.99951992318771,1.0,0.9997599039615845,1.0,0.5,0.6666666666666666,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2082,2,0,0
RAW_1D,BASELINE_CE,baseline,117,10,1534,0.9977835723598435,0.4995894676807495,0.0,0.0,0.9999348109517602,0.9984344422700587,0.999178935361499,,0.0,0.0,0.0,,,,,,0.004722895432211074,0.001185557158542228,0.0,0.0,0.0002061458709366681,0.004725976251149289,0.002371114317084456,,0.0,0.0,0.0,,,,,,1533,1,0,0
RAW_1D,BASELINE_CE,baseline,121,10,1863,0.999248523886205,0.7554301508560245,0.4,0.4,0.999677621457472,0.9995701235894681,0.9996237859014068,0.8,0.4,0.4,0.8,1.0,0.8666666666666666,0.0,,,0.0006300524910237655,0.19464033780016662,0.5163977794943222,0.5163977794943222,0.0002774593867120241,0.00055496805963925,0.0003155289023931281,0.4472135954999579,0.5163977794943222,0.5163977794943222,0.2581988897471611,0.0,0.17213259316477408,,,,1861,1,1,0
RAW_1D,BASELINE_CE,baseline,231,10,1571,0.9901973265436028,0.4722888639691053,0.0,0.0,0.9992932463825456,0.991454081632653,0.9953514403921645,0.0,0.0,0.0,0.5164682539682539,0.5,0.4215151515151515,,,,0.005386173342153068,0.07619268394799705,0.0,0.0,0.00020101448679824322,0.005396478520741353,0.002693091681820106,0.0,0.0,0.0,0.4309937606197121,0.0,0.22906417043585162,,,,1568,1,2,0
RAW_1D,BASELINE_CE,baseline,105,10,2567,0.984651343981301,0.7972734940266448,,,0.9988018962122316,0.9899049881235154,0.9943323567720569,0.0,,,0.564461184692143,0.6609756097560975,0.6002146312812326,0.0,,,0.0034070092089043126,0.07356780500182684,,,0.0008206672412692616,0.0023177841211731976,0.0013213325505793529,0.0,,,0.107797732531203,0.21493265765426836,0.14709489962258837,0.0,,,2526,0,41,0
RAW_1D,BASELINE_CE,baseline,111,10,2124,0.9967514124293786,0.6478396415942987,,,1.0,0.9967498822421103,0.9983704808797953,0.0,,,0.1809387351778656,1.0,0.2973088023088023,,,,0.0028287794511864233,0.06644799572889055,,,0.0,0.0028301118955816975,0.0014229344308705108,,,,0.09115338232853602,0.0,0.13164823262546,,,,2123,0,1,0
RAW_1D,BASELINE_CE,baseline,123,10,1518,0.9981554677206852,0.9995375067770718,,,1.0,0.9981518151815182,0.9990750135541434,0.0,,,1.0,1.0,1.0,,,,0.0004166373728811877,0.00010450352364440984,,,0.0,0.0004174623973819698,0.0002090070472888373,0.0,,,0.0,0.0,0.0,,,,1515,0,3,0
